batch,prawn.id,size,algae.id,colour,day,swMean,lwMean,sum(sml),ppn(sw),ppn(lw),hue_sam,hue,jnd
5,B5G4,7.78125,p17,green,0,4632.144,13321.683,17953.827,0.258003154,0.741996846,0.483993691,0.347714624,13.32527331
5,B5G4,7.78125,p9,green,5,7230.137,16039.727,23269.864,0.310708176,0.689291824,0.378583648,0.450764343,10.16136156
5,B5G4,7.78125,p9,green,10,19867.033,30506.512,50373.545,0.394394181,0.605605819,0.211211639,0.651239086,5.146843124
5,B5G4,7.78125,p23,green,15,32354.483,42484.534,74839.017,0.432321058,0.567678942,0.135357884,0.761559089,4.332322961
5,B5G4,7.78125,p2,green,20,26460.821,34283.177,60743.998,0.435612108,0.564387892,0.128775785,0.771831065,4.104085492
5,B5G4,7.78125,p22,green,25,28595.282,35923.607,64518.889,0.443207911,0.556792089,0.113584178,0.796002528,3.786626392
5,B5G4,7.78125,p25,green,30,13111.634,20902.198,34013.832,0.385479472,0.614520528,0.229041056,0.627284939,5.643970424
6,B6G2,6.1875,p23,green,0,4540.359,14337.035,18877.394,0.240518315,0.759481685,0.51896337,0.316687446,14.43425049
6,B6G2,6.1875,p22,green,5,13703.626,23600.614,37304.24,0.36734768,0.63265232,0.265304641,0.580647012,7.418444174
6,B6G2,6.1875,p22,green,10,24562.282,30330.629,54892.911,0.447458179,0.552541821,0.105083642,0.809817759,2.703507255
6,B6G2,6.1875,p8,green,15,36950.97,42687.507,79638.477,0.463983886,0.536016114,0.072032229,0.865615554,2.659514478
6,B6G2,6.1875,p17,green,20,37236.949,41834.165,79071.114,0.470929864,0.529070136,0.058140271,0.890108575,2.503693818
6,B6G2,6.1875,p15,green,25,38701.731,42954.696,81656.427,0.473958174,0.526041826,0.052083653,0.900989522,2.159869081
6,B6G2,6.1875,p16,green,30,NA,NA,NA,NA,NA,NA,NA,NA
6,B6G3,8.125,p25,green,0,4550.569,11452.89,16003.459,0.28434909,0.71565091,0.43130182,0.39732932,10.90111909
6,B6G3,8.125,p6,green,5,5300.083,16154.283,21454.366,0.247039833,0.752960167,0.505920333,0.328091504,13.31516715
6,B6G3,8.125,p6,green,10,7979.095,19433.234,27412.329,0.291076873,0.708923127,0.417846255,0.410590178,11.36607334
6,B6G3,8.125,p24,green,15,10502.506,25046.913,35549.419,0.29543397,0.70456603,0.409132059,0.41931339,10.21544473
6,B6G3,8.125,p1,green,20,10008.479,23096.955,33105.434,0.302321335,0.697678665,0.39535733,0.433324609,10.69851889
6,B6G3,8.125,p4,green,25,9763.527,24729.315,34492.842,0.283059511,0.716940489,0.433880977,0.39481591,11.31360112
6,B6G3,8.125,p3,green,30,13520.322,34268.853,47789.175,0.282915995,0.717084005,0.43416801,0.394536753,11.34952715
6,B6G4,7.0625,p26,green,0,5692.417,19615.344,25307.761,0.224927721,0.775072279,0.550144558,0.290202252,15.36121341
6,B6G4,7.0625,p8,green,5,14196.298,27662.975,41859.273,0.339143444,0.660856556,0.321713112,0.513187681,8.678393451
6,B6G4,7.0625,p8,green,10,23766.058,31784.608,55550.666,0.427826698,0.572173302,0.144346604,0.747722231,3.989177518
6,B6G4,7.0625,p17,green,15,30960.332,36745.994,67706.326,0.457273845,0.542726155,0.085452311,0.842549857,3.135868266
6,B6G4,7.0625,p10,green,20,32294.193,38789.202,71083.395,0.454314162,0.545685838,0.091371677,0.832556261,3.280493894
6,B6G4,7.0625,p25,green,25,31995.102,38247.673,70242.775,0.455493138,0.544506862,0.089013724,0.836524146,2.329961452
6,B6G4,7.0625,p26,green,30,NA,NA,NA,NA,NA,NA,NA,NA
7,B7G5,8.625,p2,green,0,2537.874,12156.05,14693.924,0.172715879,0.827284121,0.654568242,0.208774561,19.15718399
7,B7G5,8.625,p19,green,5,NA,NA,NA,NA,NA,NA,NA,NA
7,B7G5,8.625,p25,green,10,2422.021,10201.522,12623.543,0.19186539,0.80813461,0.61626922,0.237417613,16.82957132
7,B7G5,8.625,p2,green,15,3381.47,10806.043,14187.513,0.238341279,0.761658721,0.523317441,0.312923982,14.49789633
7,B7G5,8.625,p3,green,20,7061.948,15373.006,22434.954,0.314774347,0.685225653,0.370451306,0.459373268,9.597846658
7,B7G5,8.625,p11,green,25,12399.845,23216.226,35616.071,0.348153085,0.651846915,0.30369383,0.534102528,8.589895163
7,B7G5,8.625,p14,green,30,NA,NA,NA,NA,NA,NA,NA,NA
7,B7G6,9.75,p14,green,0,2564.581,6902.425,9467.006,0.270896733,0.729103267,0.458206533,0.371547826,12.66337601
7,B7G6,9.75,p21,green,5,3747.557,10687.773,14435.33,0.259610068,0.740389932,0.480779864,0.350639651,13.38007608
7,B7G6,9.75,p19,green,10,10128.209,24109.177,34237.386,0.295823081,0.704176919,0.408353839,0.420097667,10.59902954
7,B7G6,9.75,p21,green,15,7856.567,18733.379,26589.946,0.295471341,0.704528659,0.409057318,0.419388675,11.31883671
7,B7G6,9.75,p25,green,20,10178.204,23169.667,33347.871,0.305213007,0.694786993,0.389573985,0.439290042,9.745298967
7,B7G6,9.75,p9,green,25,22859.401,39408.626,62268.027,0.367112981,0.632887019,0.265774038,0.580060848,7.257969822
7,B7G6,9.75,p6,green,30,29625.398,42573.031,72198.429,0.410333,0.589667,0.179333999,0.695872417,4.659000615
8,B8G1,7.71875,p11,green,0,4830.615,15680.714,20511.329,0.235509605,0.764490395,0.528980789,0.308060908,14.92527293
8,B8G1,7.71875,p13,green,5,6707.816,16302.782,23010.598,0.291509851,0.708490149,0.416980298,0.411452229,11.5387908
8,B8G1,7.71875,p21,green,10,9896.466,17614.149,27510.615,0.359732634,0.640267366,0.280534732,0.561847524,7.705707891
8,B8G1,7.71875,p4,green,15,14900.736,20723.938,35624.674,0.418270101,0.581729899,0.163459798,0.719010837,4.412179415
8,B8G1,7.71875,p11,green,20,10378.473,15408.983,25787.456,0.402462073,0.597537927,0.195075854,0.673533938,5.919496571
8,B8G1,7.71875,p8,green,25,12106.19,17893.875,30000.065,0.403538792,0.596461208,0.192922415,0.676554966,5.496579345
8,B8G1,7.71875,p21,green,30,NA,NA,NA,NA,NA,NA,NA,NA
8,B8G3,7.125,p19,green,0,5940.99,19214.407,25155.397,0.236171586,0.763828414,0.527656828,0.309194554,14.0769858
8,B8G3,7.125,p10,green,5,3060.393,15320.735,18381.128,0.166496474,0.833503526,0.667007052,0.199754973,19.71396046
8,B8G3,7.125,p13,green,10,3913.122,17223.503,21136.625,0.185134666,0.814865334,0.629730669,0.227196639,17.54584936
8,B8G3,7.125,p26,green,15,12767.628,24488.296,37255.924,0.342700613,0.657299387,0.314598774,0.521376743,8.615928533
8,B8G3,7.125,p21,green,20,20478.926,28465.322,48944.248,0.418413334,0.581586666,0.163173331,0.719434194,5.10576343
8,B8G3,7.125,p5,green,25,25915.682,32877.959,58793.641,0.440790561,0.559209439,0.118418878,0.788238771,3.807815587
8,B8G3,7.125,p5,green,30,37089.517,45729.838,82819.355,0.447836342,0.552163658,0.104327316,0.811057258,3.479268137
8,B8G4,6.5625,p7,green,0,9619.589,20164.678,29784.267,0.322975516,0.677024484,0.354048968,0.477051456,9.641546485
8,B8G4,6.5625,p2,green,5,27936.791,33647.717,61584.508,0.45363342,0.54636658,0.092733159,0.830273002,3.263779853
8,B8G4,6.5625,p10,green,10,32031.939,37742.12,69774.059,0.459080917,0.540919083,0.081838166,0.848705346,3.009168573
8,B8G4,6.5625,p10,green,15,35189.068,39656.396,74845.464,0.470156321,0.529843679,0.059687358,0.887349118,2.54669504
8,B8G4,6.5625,p18,green,20,NA,NA,NA,NA,NA,NA,NA,NA
8,B8G4,6.5625,p18,green,25,NA,NA,NA,NA,NA,NA,NA,NA
8,B8G4,6.5625,p1,green,30,NA,NA,NA,NA,NA,NA,NA,NA
1,B1R2,9.0625,u21,red,0,3497.583,3514.643,7012.226,0.498783553,0.501216447,0.002432894,0.995146022,12.7420807
1,B1R2,9.0625,u9,red,5,6493.403,9073.684,15567.087,0.417123833,0.582876167,0.165752334,0.715630278,6.899692862
1,B1R2,9.0625,u10,red,10,20150.113,30764.458,50914.571,0.395763189,0.604236811,0.208473621,0.65498027,5.664875488
1,B1R2,9.0625,u11,red,15,12748.199,26074.008,38822.207,0.328373887,0.671626113,0.343252227,0.488923644,2.42356121
1,B1R2,9.0625,u25,red,20,13037.956,27796.17,40834.126,0.319290683,0.680709317,0.361418633,0.469055845,3.056438767
1,B1R2,9.0625,u23,red,25,NA,NA,NA,NA,NA,NA,NA,NA
1,B1R2,9.0625,u13,red,30,NA,NA,NA,NA,NA,NA,NA,NA
1,B1R3,9.03125,u26,red,0,2416.415,2490.515,4906.93,0.492449454,0.507550546,0.015101092,0.970247118,11.02687323
1,B1R3,9.03125,u11,red,5,7674.359,12171.022,19845.381,0.386707567,0.613292433,0.226584866,0.630543516,5.352137346
1,B1R3,9.03125,u1,red,10,16412.212,29479.607,45891.819,0.357628274,0.642371726,0.284743453,0.556731031,4.143448537
1,B1R3,9.03125,u3,red,15,14970.633,31457.18,46427.813,0.32244967,0.67755033,0.355100659,0.475905119,3.877721843
1,B1R3,9.03125,u21,red,20,13166.638,27539.527,40706.165,0.323455624,0.676544376,0.353088752,0.478099642,4.30239467
1,B1R3,9.03125,u10,red,25,16503.028,34016.564,50519.592,0.3266659,0.6733341,0.3466682,0.485146824,2.209270262
1,B1R3,9.03125,u22,red,30,16814.283,35560.576,52374.859,0.321037294,0.678962706,0.357925412,0.472834945,3.415548438
1,B1R4,7.46875,u19,red,0,5174.763,5859.362,11034.125,0.468978102,0.531021898,0.062043796,0.883161511,10.1011341
1,B1R4,7.46875,u1,red,5,7658.972,12125.166,19784.138,0.387126899,0.612873101,0.225746201,0.631659146,5.597142159
1,B1R4,7.46875,u6,red,10,18968.85,32499.148,51467.998,0.368556205,0.631443795,0.262887591,0.583672224,6.15509716
1,B1R4,7.46875,u25,red,15,17215.946,33314.64,50530.586,0.34070347,0.65929653,0.31859306,0.516768184,4.171712316
